Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1657548677.5637503,0,1657548677,562608875,map,-0.01410514023154974,-0.02417599968612194,0.0879189670085907,0.0044135093162170685,0.0021762689864727744,-0.016810186234873015,-0.9998466526508464
1657548677.56377,1,1657548677,562688991,map,-0.01409498043358326,-0.024183526635169983,0.08791483938694,0.004417675021820377,0.00217668543355601,-0.016803822060747875,-0.9998466947976947
1657548677.5648174,2,1657548677,563145634,map,-0.01408133190125227,-0.02419780194759369,0.0879087820649147,0.004420873407859522,0.0021733533629817448,-0.016805971550021892,-0.9998466526508464
1657548677.5865393,3,1657548677,585759874,map,-0.01407098863273859,-0.02420864999294281,0.08790235221385956,0.004418789114491757,0.002174110030621417,-0.016802557655292538,-0.9998467790913919
1657548677.5865471,4,1657548677,585851632,map,-0.014058338478207588,-0.024224525317549706,0.08789527416229248,0.004417939509758395,0.002168827927440951,-0.016801630424625236,-0.9998467790913919
1657548677.6152415,5,1657548677,614597535,map,-0.014041774906218052,-0.024246934801340103,0.08788775652647018,0.004419413826275642,0.0021616032002799994,-0.016797205005531612,-0.9998468212382403
1657548677.616348,6,1657548677,614970194,map,-0.01402668934315443,-0.024264490231871605,0.08788122981786728,0.004414480751684407,0.0021623242241981767,-0.01679956522904824,-0.9998468212382403
1657548677.6163611,7,1657548677,615144442,map,-0.014013499952852726,-0.024277957156300545,0.0878763273358345,0.004415691979670715,0.002159936835720613,-0.016796952124440545,-0.9998469055319374
1657548677.644951,8,1657548677,643014973,map,-0.01399671845138073,-0.024297643452882767,0.08787131309509277,0.004416552121116204,0.002157353941842241,-0.0167961934811674,-0.9998469055319374
1657548677.6449654,9,1657548677,643352146,map,-0.0139839518815279,-0.024313729256391525,0.087866872549057,0.004413250919815749,0.002156337066803852,-0.01679370681710518,-0.9998469476787859
1657548677.6449766,10,1657548677,643837414,map,-0.013969186693429947,-0.024334535002708435,0.08786185830831528,0.00441182500631984,0.0021588614325390772,-0.016793622523408214,-0.9998469476787859
1657548677.66755,11,1657548677,667161275,map,-0.013950971886515617,-0.02436053566634655,0.08785642683506012,0.004413027097001099,0.0021566471589490486,-0.016794212579287315,-0.9998469476787859
1657548677.668172,12,1657548677,667355526,map,-0.013935402035713196,-0.024381935596466064,0.08785165101289749,0.0044136193754679654,0.002153666998096236,-0.01679299032068049,-0.9998469898256344
1657548677.6683695,13,1657548677,667454103,map,-0.013921599835157394,-0.024398837238550186,0.08784693479537964,0.004413048582015671,0.0021517531031199112,-0.016792526705346866,-0.9998469476787859
1657548677.6950877,14,1657548677,693420852,map,-0.01390489935874939,-0.024419814348220825,0.08784172683954239,0.0044135007551384655,0.0021520635245373615,-0.016790798684558017,-0.9998469898256344
1657548677.6951673,15,1657548677,693597678,map,-0.013890738599002361,-0.024435071274638176,0.08783773332834244,0.0044093990106704945,0.0021543075149483126,-0.016787426936677063,-0.9998470741193315
1657548677.7245207,16,1657548677,723905722,map,-0.013879837468266487,-0.024445585906505585,0.0878337025642395,0.004408923870807985,0.002147548543390632,-0.016788944223223468,-0.9998470741193315
1657548677.7262137,17,1657548677,724448923,map,-0.013866269029676914,-0.024461399763822556,0.08782719075679779,0.004406269524850497,0.0021469398013110657,-0.01679058795031546,-0.9998470319724828
1657548677.726223,18,1657548677,724826974,map,-0.01385548897087574,-0.02447066456079483,0.08782079815864563,0.004404485363142245,0.002150114150475669,-0.016796319921712932,-0.9998469476787859
1657548677.7551916,19,1657548677,754866547,map,-0.013840802013874054,-0.024485263973474503,0.087814100086689,0.004404683585039148,0.00215152080154472,-0.016794760488318017,-0.9998469898256345
1657548677.7562065,20,1657548677,755379204,map,-0.013828856870532036,-0.024496424943208694,0.08780769258737564,0.004403052205656748,0.0021499970941893753,-0.01679054580346695,-0.9998470741193314
1657548677.756218,21,1657548677,755528959,map,-0.013819494284689426,-0.024503707885742188,0.08780315518379211,0.00440478812897979,0.0021500208017916625,-0.016787721964616642,-0.99984711626618
1657548677.786931,22,1657548677,786533863,map,-0.01380624994635582,-0.02451576478779316,0.08779792487621307,0.004409407489431035,0.0021479032519262442,-0.016783928748250743,-0.99984711626618
1657548677.7871764,23,1657548677,786799525,map,-0.013795115984976292,-0.02452303096652031,0.08779334276914597,0.004409225237238451,0.002151249810479686,-0.01678274863649243,-0.99984711626618
1657548677.7876093,24,1657548677,787216190,map,-0.013786681927740574,-0.024526022374629974,0.08778944611549377,0.004409382217785541,0.002150868924799881,-0.016780388412975744,-0.999847200559877
